band,mid,title,type
Alt-J,/m/0k3lyz1,alt-J,Rock band
Arctic Monkeys,/m/05q_9w,Arctic Monkeys,Rock band
Belle and Sebastian,/m/01cng,Belle and Sebastian,Pop band
Black Sabbath,/m/01czx,Black Sabbath,Rock band
Blur,/m/0bt8c,Blur,Band
Bring Me The Horizon,/m/0l030d,Bring Me The Horizon,Rock band
CHVRCHES,/m/0p3qb9l,CHVRCHES,Pop band
Coldplay,/m/0kr_t,Coldplay,Rock band
Def Leppard,/m/017mbb,Def Leppard,Rock band
Dog Is Dead,/m/0c3_rzh,Dog Is Dead,Pop band
Duran Duran,/m/01323p,Duran Duran,Pop band
ELO,/m/02vgh,Electric Light Orchestra,Rock band
Echo & the Bunnymen,/m/016j9y,Echo & the Bunnymen,Rock band
Editors,/g/11jfqrl9f5,All the Frequent Troubles of Our Days: The True Story of the American Woman at the Heart of the German Resistance to Hitler,Book by Rebecca Donner
Florence and the Machine,/m/04zvkdd,Florence & The Machine,Rock band
Frankie Goes to Hollywood,/m/02_m9,Frankie Goes To Hollywood,Pop band
Franz Ferdinand,/m/02ft60,Franz Ferdinand,Band
Idles,/m/011tlv78,Idles,Band
Ivyrise,/m/04g0s1p,Ivyrise,Rock band
Jake Bugg,/m/0j9k3bv,Jake Bugg,English singer-songwriter
Kaiser Chiefs,/m/055t63,Kaiser Chiefs,Rock band
Kiki Dee,/m/01wrd0x,Kiki Dee,English singer
Kosheen,//m/04k0zg,Kosheen,Musical group
London Grammar,/m/0vyrrpx,London Grammar,Pop band
Massive Attack,/m/0jvy1,Massive Attack,Musical band
New Order,/m/05k79,New Order,Band
Oasis,/m/01s560x,Oasis,Band
Portishead,/m/0m19t,Portishead,Band
Primal Scream,/m/0kbx8,Primal Scream,Rock band
Pulp,/m/0l34z,Pulp,Band
Simple Minds,/m/016vj5,Simple Minds,Rock band
Sisters of Mercy,/m/015j4v,The Sisters of Mercy,Rock band
Sleaford Mods,/g/11bx497q9w,Jason Williamson,Singer
Smokie,/g/11y5brkx3r,Drummygar Mains,Topic
Soft Cell,/m/017gvf,Soft Cell,Pop duo
Tasmin Archer,/m/03pbg_,Tasmin Archer,Singer
Ten Years After,/m/01kzjbg,Ten Years After,Rock band
The 1975,/m/0pc5ghh,The 1975,Pop band
The Beatles,/m/07c0j,The Beatles,Rock band
The Clash,/m/07h76,The Clash,Rock band
The Cult,/m/013rfk,The Cult,Rock band
The Human League,/m/013pnp,The Human League,Pop band
The La's,/m/022cyn,The La's,Rock band
The Rolling Stones,/g/11t27n82b5,Brown Sugar,Band
The Smiths,/m/0dtn7,The Smiths,Rock band
The Stone Roses,/m/094qh,The Stone Roses,Rock band
The Wedding Present,/m/03trpw,The Wedding Present,Rock band
The Wombats,/m/0dwh2v,The Wombats,Rock band
Tricky,/g/11f1rmgq1b,"Ask a Manager: How to Navigate Clueless Colleagues, Lunch-Stealing Bosses and Other Tricky Situations at Work",Book by Alison Green
UB40,/m/01lg2t,UB40,Band
